Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2016-11-14 00:00:00;2016;BMW;16BM235;M4 Coupé;704000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM236;M5;968500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM237;M550d xDrive Sedan;785500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM238;M550d xDrive Touring;804400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM239;M6 Cabriolet LCI;1264400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM240;M6 Gran Coupé LCI;1246500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM241;M6 LCI;1193400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM317;M760Li xDrive;1620000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM242;X1 sDrive16d;299000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM243;X1 sDrive18d;317000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM244;X1 sDrive18i;299000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM245;X1 sDrive20d;333000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM246;X1 sDrive20i;349000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM247;X1 xDrive18d;337000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM248;X1 xDrive20d;353000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM249;X1 xDrive20i;369000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM250;X1 xDrive25d;408000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM251;X1 xDrive25i;408000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM252;X3 sDrive18d;357400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM253;X3 sDrive20i;378500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM254;X3 xDrive20d;391400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM255;X3 xDrive20d Comfort Edition;376000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM316;X3 xDrive20d Model Sport Edition;399000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM256;X3 xDrive20i;377500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM257;X3 xDrive28i;457500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM258;X3 xDrive30d;487500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM259;X3 xDrive30d M Sport Edition;499000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM260;X3 xDrive35d;541600;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM261;X3 xDrive35d M Sport Edition;549000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM262;X3 xDrive35i;501500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM263;X4 M40i;638000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM264;X4 xDrive20d;424500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM265;X4 xDrive20i;430500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM266;X4 xDrive28i;490500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM267;X4 xDrive30d;520500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM268;X4 xDrive35d;574500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM269;X4 xDrive35i;534500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM270;X5 M;1147000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM271;X5 M50d;836700;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM272;X5 xDrive25d;571700;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM273;X5 xDrive30d;601700;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM274;X5 xDrive35i;616700;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM275;X5 xDrive40d;646700;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM276;X5 xDrive40e, miljöbil;655000;Laddhybrid;16BM274;-70000
Personbil;2016-11-14 00:00:00;2016;BMW;16BM277;X5 xDrive50i;787700;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM278;X6 M;1191300;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM279;X6 M50d;874000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM280;X6 xDrive30d;643000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM281;X6 xDrive35i;658000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM282;X6 xDrive40d;688000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM283;X6 xDrive50i;829000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Citroën;16CI001;Berlingo Multispace BlueHDi 100;178900;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Citroën;16CI002;Berlingo Multispace BlueHDi 120;196900;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Citroën;16CI003;Berlingo Multispace VTi 120;159900;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Citroën;16CI004;C1 PureTech 82;104900;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Citroën;16CI005;C1 VTi 68;99900;Bensin;;
